[28-Aug-2018 09:56:13 America/Sao_Paulo] PHP Fatal error:  Class 'crocodicstudio\crudbooster\controllers\Carbon' not found in /home/ubuntu/workspace/vendor/crocodicstudio/crudbooster/src/controllers/CBController.php on line 909
[28-Aug-2018 11:43:37 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/storage/framework/views/ea2b42e9b9c96c701ea63822c812cf5521722a38.php on line 9
[28-Aug-2018 20:06:07 America/Sao_Paulo] PHP Fatal error:  Cannot access protected property Illuminate\Http\RedirectResponse::$request in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 363
[28-Aug-2018 20:07:03 America/Sao_Paulo] PHP Fatal error:  Call to a member function get() on null in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 363
[28-Aug-2018 20:08:34 America/Sao_Paulo] PHP Fatal error:  Cannot access protected property Illuminate\Http\RedirectResponse::$request in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 363
[28-Aug-2018 20:14:03 America/Sao_Paulo] PHP Fatal error:  Call to a member function set() on null in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 361
[28-Aug-2018 20:14:42 America/Sao_Paulo] PHP Fatal error:  Call to a member function set() on null in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 361
[28-Aug-2018 20:25:23 America/Sao_Paulo] PHP Fatal error:  Call to a member function merge() on null in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 362
[28-Aug-2018 20:42:59 America/Sao_Paulo] PHP Fatal error:  Class 'App\Http\Controllers\Input' not found in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 364
[28-Aug-2018 21:08:21 America/Sao_Paulo] PHP Fatal error:  Class 'Input' not found in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 364
[28-Aug-2018 21:26:10 America/Sao_Paulo] PHP Fatal error:  Call to a member function get() on null in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 365
[28-Aug-2018 21:34:52 America/Sao_Paulo] PHP Fatal error:  Call to a member function offsetSet() on null in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 365
[28-Aug-2018 23:03:13 America/Sao_Paulo] PHP Fatal error:  Call to a member function offsetSet() on null in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 365
[28-Aug-2018 23:12:23 America/Sao_Paulo] PHP Fatal error:  Call to a member function merge() on null in /home/ubuntu/workspace/app/Http/Controllers/AdminEventosController.php on line 365
[28-Aug-2018 23:37:34 America/Sao_Paulo] PHP Fatal error:  Class 'Carbon' not found in /home/ubuntu/workspace/storage/framework/views/83fefd734c086dfa2a06fd4d454eda76345935e1.php on line 1
[29-Aug-2018 00:53:49 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected ':' in /home/ubuntu/workspace/resources/lang/pt_br/validation.php on line 18
[29-Aug-2018 10:34:47 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected ',', expecting ']' in /home/ubuntu/workspace/resources/lang/pt_br/validation.php on line 119
